property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
2 BHK Flat,maa bhagwati residency,2.0,2.0,1,unavailable,West,new,Krishna Colony,0.45,1285.7142857142858,3500.0,0,0,0,0,0,1,4.0,30.5,Fancy,8.5,Minimal,20.0
2 BHK Flat,Apna Enclave,2.0,2.0,1,unavailable,West,old,Ashok Vihar,0.5,928.5714285714287,5384.615384615384,0,0,0,0,0,1,1.0,32.5,Fancy,7.5,Minimal,20.0
2 BHK Flat,Tulsiani Easy in Homes,2.0,2.0,3,unavailable,unavailable,newly built,Sohna,0.4,850.0,4705.882352941177,0,0,0,0,0,1,12.0,-1.0,Unavailable,13.5,Basic,20.0
2 BHK Flat,Smart World Orchard,2.0,2.0,2,Study Room,unavailable,under construction,Sector 61 Gurgaon,1.47,1714.2857142857144,8575.0,0,0,0,0,1,0,2.0,-1.0,Unavailable,21.0,Good,0.0
2 BHK Flat,Parkwood Westend,2.0,2.0,3,Study Room,unavailable,under construction,Sector 92 Gurgaon,0.7,1479.5000000000002,4731.3281514025,0,0,0,0,1,0,5.0,-1.0,Unavailable,0.0,Minimal,20.0
2 BHK Flat,Signature Global Infinity Mall,2.0,2.0,3,unavailable,unavailable,unknown,Sector 36 Gurgaon,0.41,719.4000000000001,5699.193772588266,0,0,0,0,0,1,3.0,-1.0,Unavailable,0.0,Minimal,0.0
3 BHK Flat,The Cocoon,3.0,3.0,3,unavailable,unavailable,newly built,Dwarka Expressway Gurgaon,2.0,1650.0000000000002,12121.21212121212,0,0,0,0,0,1,5.0,-1.0,Unavailable,0.0,Minimal,0.0
3 BHK Flat,ATS Triumph39 ,3.0,4.0,3,unavailable,unavailable,newly built,Sector 104 Gurgaon,1.8,3271.4285714285716,5502.183406113537,0,0,0,0,0,1,14.0,-1.0,Unavailable,15.5,Basic,24.5
2 BHK Flat,Vatika Xpressions,2.0,4.0,3+,Study Room,North-East,under construction,Sector 88B Gurgaon,1.1,1928.5714285714287,5703.7037037037035,0,0,0,0,1,0,2.0,-1.0,Unavailable,17.0,Basic,0.0
3 BHK Flat,Raheja Revanta,3.0,3.0,2,Servant Room,unavailable,under construction,Sector 78 Gurgaon,4.75,3094.3,15350.806321300455,0,0,1,0,0,0,31.0,-1.0,Unavailable,23.0,Good,20.0
2 BHK Flat,Signature Global City 81,2.0,2.0,2,unavailable,unavailable,under construction,Sector 81 Gurgaon,0.96,1535.7142857142858,6251.162790697674,0,0,0,0,0,1,1.0,-1.0,Unavailable,13.5,Basic,17.5
2 BHK Flat,HCBS Sports Ville36 ,2.0,2.0,1,unavailable,unavailable,new,Sohna,0.29,741.4285714285714,3911.368015414258,0,0,0,0,0,1,4.0,-1.0,Unavailable,11.5,Basic,25.0
3 BHK Flat,Supertech Araville,3.0,3.0,3,unavailable,unavailable,new,Sector 79 Gurgaon,1.35,2778.571428571429,4858.611825192802,0,0,0,0,0,1,4.0,31.5,Fancy,0.0,Minimal,20.0
2 BHK Flat,Godrej,2.0,2.0,3+,unavailable,South-East,under construction,Sector 33 Gurgaon,0.95,1523.5000000000002,6235.641614702986,0,0,0,0,0,1,3.0,-1.0,Unavailable,0.0,Minimal,20.0
2 BHK Flat,Shree Vardhman Flora38 ,2.0,2.0,3,Study Room,unavailable,newly built,Sector 90 Gurgaon,0.7,1430.0000000000002,4895.104895104894,0,0,0,0,1,0,13.0,-1.0,Unavailable,5.0,Minimal,25.0
4 BHK Flat,Sobha City,4.0,5.0,3,unavailable,unavailable,unknown,Sector 108 Gurgaon,3.95,3347.1428571428573,11801.109688433631,0,0,0,0,0,1,25.0,28.0,Medium,0.0,Minimal,18.5
1 BHK Flat,Senate Court,1.0,1.0,No,unavailable,unavailable,unknown,Sector 62 Gurgaon,0.9,702.9000000000001,12804.097311139563,0,0,0,0,0,1,0.0,-1.0,Unavailable,0.0,Minimal,20.0
2 BHK Flat,Shapoorji Pallonji Joyville Gurugram40 ,2.0,2.0,2,unavailable,unavailable,under construction,Sector 102 Gurgaon,1.05,1307.1428571428573,8032.7868852459005,0,0,0,0,0,1,0.0,-1.0,Unavailable,13.5,Basic,25.0
3 BHK Flat,Central Park Flower Valley,3.0,3.0,3,Servant Room,North-East,newly built,Sector-33 Sohna,2.2,2310.0,9523.809523809523,0,0,0,0,1,0,12.0,28.0,Medium,13.5,Basic,0.0
2 BHK Flat,Smart World Gems,2.0,2.0,2,Study Room,unavailable,under construction,Sector 89 Gurgaon,1.01,1575.7142857142858,6409.791477787851,0,0,1,0,0,0,4.0,-1.0,Unavailable,12.0,Basic,20.0
