,property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum,bed_bath_ratio,log_area,society_clean,additional_room_count,log_price
0,2 BHK Flat,maa bhagwati residency,2,2,1,unavailable,West,new,Krishna Colony,0.45,1285.7142857142858,3500.0,0,0,0,0,0,1,4,30.5,Fancy,8.5,Minimal,20.0,1.0,7.15984718272843,maa bhagwati residency,0,0.37156355643248307
1,2 BHK Flat,Apna Enclave,2,2,1,unavailable,West,old,Ashok Vihar,0.5,928.5714285714288,5384.615384615384,0,0,0,0,0,1,1,32.5,Fancy,7.5,Minimal,20.0,1.0,6.834723650439671,apna enclave,0,0.4054651081081644
2,2 BHK Flat,Tulsiani Easy in Homes,2,2,3,unavailable,unavailable,newly built,Sohna,0.4,850.0,4705.882352941177,0,0,0,0,0,1,12,-1.0,Unavailable,13.5,Basic,20.0,1.0,6.7464121285733745,tulsiani easy in homes,0,0.33647223662121295
3,2 BHK Flat,Smart World Orchard,2,2,2,Study Room,unavailable,under construction,Sector 61 Gurgaon,1.47,1714.2857142857144,8575.0,0,0,0,0,1,0,2,-1.0,Unavailable,21.0,Good,0.0,1.0,7.447334942975405,smart world orchard,1,0.9042181506398859
4,2 BHK Flat,Parkwood Westend,2,2,3,Study Room,unavailable,under construction,Sector 92 Gurgaon,0.7,1479.5000000000002,4731.3281514025,0,0,0,0,1,0,5,-1.0,Unavailable,0.0,Minimal,20.0,1.0,7.3001351475416465,parkwood westend,1,0.5306282510621704
5,2 BHK Flat,Signature Global Infinity Mall,2,2,3,unavailable,unavailable,unknown,Sector 36 Gurgaon,0.41,719.4000000000001,5699.193772588266,0,0,0,0,0,1,3,-1.0,Unavailable,0.0,Minimal,0.0,1.0,6.579806613301801,signature global infinity mall,0,0.3435897043900769
6,3 BHK Flat,The Cocoon,3,3,3,unavailable,unavailable,newly built,Dwarka Expressway Gurgaon,2.0,1650.0000000000002,12121.21212121212,0,0,0,0,0,1,5,-1.0,Unavailable,0.0,Minimal,0.0,1.0,7.409136443920128,the cocoon,0,1.0986122886681098
7,3 BHK Flat,ATS Triumph39 ,3,4,3,unavailable,unavailable,newly built,Sector 104 Gurgaon,1.8,3271.428571428572,5502.183406113537,0,0,0,0,0,1,14,-1.0,Unavailable,15.5,Basic,24.5,0.75,8.093287670633261,ats triumph,0,1.0296194171811581
8,2 BHK Flat,Vatika Xpressions,2,4,3+,Study Room,North-East,under construction,Sector 88B Gurgaon,1.1,1928.571428571429,5703.703703703704,0,0,0,0,1,0,2,-1.0,Unavailable,17.0,Basic,0.0,0.5,7.565053199505451,vatika xpressions,1,0.7419373447293773
9,3 BHK Flat,Raheja Revanta,3,3,2,Servant Room,unavailable,under construction,Sector 78 Gurgaon,4.75,3094.3,15350.806321300455,0,0,1,0,0,0,31,-1.0,Unavailable,23.0,Good,20.0,1.0,8.037640110954355,raheja revanta,1,1.749199854809259
10,2 BHK Flat,Signature Global City 81,2,2,2,unavailable,unavailable,under construction,Sector 81 Gurgaon,0.96,1535.7142857142858,6251.162790697674,0,0,0,0,0,1,1,-1.0,Unavailable,13.5,Basic,17.5,1.0,7.337401835376692,signature global city ,0,0.6729444732424258
